Date,Value
"Dec 31, 2016",7.44 billion
"Dec 31, 2015",7.36 billion
"Dec 31, 2014",7.27 billion
"Dec 31, 2013",7.19 billion
"Dec 31, 2012",7.10 billion
"Dec 31, 2011",7.01 billion
"Dec 31, 2010",6.93 billion
"Dec 31, 2009",6.85 billion
"Dec 31, 2008",6.77 billion
"Dec 31, 2007",6.68 billion
"Dec 31, 2006",6.60 billion
"Dec 31, 2005",6.52 billion
"Dec 31, 2004",6.44 billion
"Dec 31, 2003",6.36 billion
"Dec 31, 2002",6.28 billion
"Dec 31, 2001",6.20 billion
"Dec 31, 2000",6.12 billion
"Dec 31, 1999",6.04 billion
"Dec 31, 1998",5.96 billion
"Dec 31, 1997",5.88 billion
"Dec 31, 1996",5.80 billion
"Dec 31, 1995",5.71 billion
"Dec 31, 1994",5.63 billion
"Dec 31, 1993",5.54 billion
"Dec 31, 1992",5.46 billion
"Dec 31, 1991",5.38 billion
"Dec 31, 1990",5.29 billion
"Dec 31, 1989",5.20 billion
"Dec 31, 1988",5.11 billion
"Dec 31, 1987",5.02 billion
"Dec 31, 1986",4.93 billion
"Dec 31, 1985",4.85 billion
"Dec 31, 1984",4.76 billion
"Dec 31, 1983",4.68 billion
"Dec 31, 1982",4.60 billion
"Dec 31, 1981",4.52 billion
"Dec 31, 1980",4.44 billion
"Dec 31, 1979",4.36 billion
"Dec 31, 1978",4.29 billion
"Dec 31, 1977",4.21 billion
"Dec 31, 1976",4.14 billion
"Dec 31, 1975",4.07 billion
"Dec 31, 1974",3.99 billion
"Dec 31, 1973",3.92 billion
"Dec 31, 1972",3.84 billion
"Dec 31, 1971",3.76 billion
"Dec 31, 1970",3.69 billion
"Dec 31, 1969",3.61 billion
"Dec 31, 1968",3.54 billion
"Dec 31, 1967",3.46 billion
"Dec 31, 1966",3.39 billion
"Dec 31, 1965",3.32 billion
"Dec 31, 1964",3.26 billion
"Dec 31, 1963",3.19 billion
"Dec 31, 1962",3.13 billion
"Dec 31, 1961",3.07 billion
"Dec 31, 1960",3.03 billion
